name,email,salary
Kovács János,kovács.jános@munkahely.com,974100
Nagy Péter,nagy.péter@ceg.hu,699100
Szabó László,szabó.lászló@ceg.hu,488500
Tóth István,tóth.istván@vallalat.hu,299100
Varga Zoltán,varga.zoltán@ceg.hu,102200
Horváth Ferenc,horváth.ferenc@vallalat.hu,304500
Kiss Attila,kiss.attila@vallalat.hu,693000
Molnár Gábor,molnár.gábor@minta.org,863700
Farkas Balázs,farkas.balázs@minta.org,719600
Balogh Tamás,balogh.tamás@ceg.hu,489500
Papp Zsuzsa,papp.zsuzsa@vallalat.hu,227300
Takács Edit,takács.edit@munkahely.com,949500
Juhász Károly,juhász.károly@munkahely.com,629400
Lakatos Dénes,lakatos.dénes@dolgozo.net,438000
Mészáros András,mészáros.andrás@munkahely.com,633400
Oláh Éva,oláh.éva@dolgozo.net,361200
Lengyel Csilla,lengyel.csilla@vallalat.hu,851000
Simon Katalin,simon.katalin@munkahely.com,634100
Fekete Róbert,fekete.róbert@minta.org,508100
Török Márta,török.márta@ceg.hu,887200
Hegedűs György,hegedűs.györgy@munkahely.com,363400
Bodnár Emese,bodnár.emese@dolgozo.net,180300
Veres Csaba,veres.csaba@ceg.hu,596300
Sipos Ádám,sipos.ádám@dolgozo.net,642300
Deák Gabriella,deák.gabriella@ceg.hu,322400
Szűcs Imre,szűcs.imre@munkahely.com,262000
Barta Ivett,barta.ivett@ceg.hu,109400
Katona Richárd,katona.richárd@minta.org,500300
Lukács Beáta,lukács.beáta@minta.org,318400
Márton Levente,márton.levente@minta.org,905200
Sándor Orsolya,sándor.orsolya@dolgozo.net,494000
Major Attila,major.attila@ceg.hu,200400
Pintér Ágnes,pintér.ágnes@vallalat.hu,347600
Dávid Norbert,dávid.norbert@dolgozo.net,270400
Szekeres Gitta,szekeres.gitta@munkahely.com,817800
Györfi Kitti,györfi.kitti@vallalat.hu,901100
Borbély Géza,borbély.géza@dolgozo.net,473100
Barna Roland,barna.roland@vallalat.hu,225400
Hollósi Rita,hollósi.rita@minta.org,770700
Pálfi Henrik,pálfi.henrik@munkahely.com,778800
Gál Henrietta,gál.henrietta@vallalat.hu,939100
Csákó Zoltán,csákó.zoltán@dolgozo.net,164500
Urbán Lilla,urbán.lilla@vallalat.hu,555100
Vas Bianka,vas.bianka@dolgozo.net,691600
Kalmár Jenő,kalmár.jenő@vallalat.hu,339600
Antal Viktor,antal.viktor@vallalat.hu,345300
Bene Sára,bene.sára@vallalat.hu,644200
Oláh Gergely,oláh.gergely@dolgozo.net,360900
Medgyesi Zita,medgyesi.zita@dolgozo.net,333700
Kardos Botond,kardos.botond@minta.org,546600
